cik,class_label,ticker,prices_with_ticker,conversion_ratio,is_excluded,effective_from,effective_to,source,source_note
1652044,CommonClassA,GOOGL,,,false,2015-10-02,,mapped_filing,"Alphabet 10-Q cover page: Class A common stock listed as GOOGL on Nasdaq"
1652044,CapitalClassC,GOOG,,,false,2015-10-02,,mapped_filing,"Alphabet 10-Q cover page: Class C capital stock listed as GOOG on Nasdaq"
1652044,CommonClassB,,GOOGL,1,false,2015-10-02,,mapped_filing,"Class B is unlisted founders' stock, 849M shares. Convertible 1:1 into Class A per Alphabet certificate of incorporation, so priced at GOOGL. Material: excluding it understates market cap by roughly 7 percent"
1288776,CommonClassA,GOOGL,,,false,1900-01-01,2015-10-02,mapped_filing,"Google Inc, the pre-Alphabet registrant. Same ticker, different CIK, which is why this mapping is dated"
1288776,CapitalClassC,GOOG,,,false,1900-01-01,2015-10-02,mapped_filing,"Google Inc, pre-Alphabet registrant"
1288776,CommonClassB,,GOOGL,1,false,1900-01-01,2015-10-02,mapped_filing,"Google Inc, pre-Alphabet registrant. Unlisted Class B"
1067983,EquivalentClassB,BRK-B,,,false,1900-01-01,,mapped_filing,"Berkshire reports the WHOLE company twice, once in Class A equivalent units and once in Class B equivalent units. 2157335139 / 1438223 = exactly 1500.0, the A-to-B conversion ratio. The B-equivalent figure times the BRK-B price is the full market cap"
1067983,EquivalentClassA,,,,true,1900-01-01,,mapped_filing,"EXCLUDED as a duplicate expression, not a separate class. Counting it alongside EquivalentClassB double counts the entire company. This is the trap that produced a wrong share count in commit 34379aa"
1754301,CommonClassA,FOXA,,,false,2019-03-19,,mapped_filing,"Fox Corp 10-Q cover page: Class A common stock, FOXA on Nasdaq"
1754301,CommonClassB,FOX,,,false,2019-03-19,,mapped_filing,"Fox Corp 10-Q cover page: Class B common stock, FOX on Nasdaq. Note B is the voting class here and IS listed, unlike most issuers"
1308161,CommonClassA,FOXA,,,false,1900-01-01,2019-03-19,mapped_filing,"Twenty-First Century Fox, the predecessor registrant. Same tickers, different CIK"
1308161,CommonClassB,FOX,,,false,1900-01-01,2019-03-19,mapped_filing,"Twenty-First Century Fox, predecessor registrant"
1564708,CommonClassA,NWSA,,,false,2013-06-19,,mapped_filing,"News Corp 10-Q cover page: Class A common stock, NWSA on Nasdaq"
1564708,CommonClassB,NWS,,,false,2013-06-19,,mapped_filing,"News Corp 10-Q cover page: Class B common stock, NWS on Nasdaq"
1564708,SeriesCommonStock,,,,true,2013-06-19,,mapped_filing,"EXCLUDED. Reported at zero shares outstanding; a placeholder series with no economic substance"
1336917,CommonClassA,UAA,,,false,2016-04-08,,mapped_filing,"Under Armour 10-Q cover page: Class A common stock, UAA on NYSE"
1336917,CommonClassC,UA,,,false,2016-04-08,,mapped_filing,"Under Armour 10-Q cover page: Class C common stock, UA on NYSE. Non-voting, created in the 2016 stock dividend"
1336917,ConvertibleCommonStock,,UAA,1,false,2016-04-08,,mapped_filing,"Class B convertible common, 34.45M shares, unlisted and held by the founder. Converts 1:1 into Class A, so priced at UAA"
1611983,CommonClassA,LBRDA,,,false,2014-11-04,,mapped_filing,"Liberty Broadband 10-Q cover page: Series A, LBRDA on Nasdaq"
1611983,CommonClassC,LBRDK,,,false,2014-11-04,,mapped_filing,"Liberty Broadband 10-Q cover page: Series C, LBRDK on Nasdaq"
1611983,CommonClassB,,LBRDA,1,false,2014-11-04,,mapped_filing,"Series B, 2.0M shares, unlisted. Convertible 1:1 into Series A, so priced at LBRDA"
1560385,LibertyFormulaOneGroupCommonClass,FWONA,,,false,2016-01-25,,mapped_filing,"Liberty Media Formula One Group Series A, FWONA on Nasdaq. Liberty runs multiple tracking-stock families under one CIK; each family must stay separate because they track different businesses"
1560385,LibertyFormulaOneGroupCommonClassC,FWONK,,,false,2016-01-25,,mapped_filing,"Formula One Group Series C, FWONK on Nasdaq"
1560385,LibertyFormulaOneGroupCommonClassB,,FWONA,1,false,2016-01-25,,mapped_filing,"Formula One Group Series B, 2.4M shares, unlisted. Convertible 1:1 into Series A"
1560385,LibertyLiveGroupCommonClass,LLYVA,,,false,2023-08-04,,mapped_filing,"Liberty Live Group Series A, LLYVA on Nasdaq. A separate tracking stock from Formula One under the same CIK"
1560385,LibertyLiveGroupCommonClassC,LLYVK,,,false,2023-08-04,,mapped_filing,"Liberty Live Group Series C, LLYVK on Nasdaq"
1560385,LibertyLiveGroupCommonClassB,,LLYVA,1,false,2023-08-04,,mapped_filing,"Liberty Live Group Series B, 2.5M shares, unlisted. Convertible 1:1 into Series A"
